,Venue Category,Combined Category
0,Noodle House,Restaurants and Eateries
1,Juice Bar,Restaurants and Eateries
2,Hotel,Hospitality
3,Bar,"Bars, Pubs and Clubs"
4,Coffee Shop,Coffee and Cafes
5,Bakery,Food and Groceries
6,Men's Store,Shopping
7,Food Truck,Restaurants and Eateries
8,Plaza,Outdoor Venues
9,Comfort Food Restaurant,Restaurants and Eateries
10,Café,Coffee and Cafes
11,Italian Restaurant,Restaurants and Eateries
12,IT Services,Business and Industry
13,Caribbean Restaurant,Restaurants and Eateries
14,Sushi Restaurant,Restaurants and Eateries
15,Modern European Restaurant,Restaurants and Eateries
16,Theme Restaurant,Restaurants and Eateries
17,Memorial Site,Outdoor Venues
18,Indian Restaurant,Restaurants and Eateries
19,Gym,Health and Fitness
20,Other Great Outdoors,Outdoor Venues
21,Greek Restaurant,Restaurants and Eateries
22,Concert Hall,Other
23,Restaurant,Restaurants and Eateries
24,Park,Outdoor Venues
25,Library,Public Amenities
26,Theme Park,Entertainment
27,Southern / Soul Food Restaurant,Restaurants and Eateries
28,Historic Site,Outdoor Venues
29,Lounge,Hospitality
30,Adult Boutique,Shopping
31,Museum,Public Amenities
32,Monument / Landmark,Outdoor Venues
33,Middle Eastern Restaurant,Restaurants and Eateries
34,Japanese Restaurant,Restaurants and Eateries
35,Karaoke Bar,"Bars, Pubs and Clubs"
36,Tapas Restaurant,Restaurants and Eateries
37,Sri Lankan Restaurant,Restaurants and Eateries
38,Bookstore,Shopping
39,Skating Rink,Health and Fitness
40,Cupcake Shop,Food and Groceries
41,Yoga Studio,Health and Fitness
42,Curling Ice,Health and Fitness
43,Department Store,Shopping
44,Grocery Store,Food and Groceries
45,Salad Place,Restaurants and Eateries
46,Gastropub,Restaurants and Eateries
47,French Restaurant,Restaurants and Eateries
48,Pub,"Bars, Pubs and Clubs"
49,Furniture / Home Store,Shopping
50,Dumpling Restaurant,Restaurants and Eateries
51,Seafood Restaurant,Restaurants and Eateries
52,Hawaiian Restaurant,Restaurants and Eateries
53,Newsstand,Shopping
54,Dessert Shop,Food and Groceries
55,Smoothie Shop,Food and Groceries
56,Clothing Store,Shopping
57,Health Food Store,Food and Groceries
58,Thai Restaurant,Restaurants and Eateries
59,Gym / Fitness Center,Health and Fitness
60,Sandwich Place,Restaurants and Eateries
61,Ice Cream Shop,Food and Groceries
62,Farmers Market,Food and Groceries
63,Fast Food Restaurant,Restaurants and Eateries
64,Pool,Health and Fitness
65,Bank,Business and Industry
